Ville_Departement
45 CHATILLON COLIGNY
14 LE HOM
25 SAINT VIT
44 SAINT GILDAS DES BOIS
76 SAINT ROMAIN DE COLBOSC
35 GUICHEN
43 YSSINGEAUX
93 AULNAY SOUS BOIS
73 BOURG SAINT MAURICE
49 DURTAL
25 DOUBS
44 GETIGNE
85 LES ESSARTS
87 NEXON
29 GUIPAVAS
91 GOMETZ LA VILLE
35 CHATEAUBOURG
37 LOCHES
52 JOINVILLE
57 MONTIGNY LES METZ
38 BIVIERS
86 SAINT GEORGES LES BAILLARGEAUX
67 HOENHEIM
27 IGOVILLE
38 COLOMBE
59 NIEPPE
85 LA ROCHE SUR YON
14 DIVES SUR MER
57 FONTOY
53 BOURGNEUF LA FORET
45 BEAUNE LA ROLANDE
79 CERIZAY
68 BITSCHWILLER LES THANN
30 AIGUES MORTES
73 CHAMBERY
21 POUILLY EN AUXOIS
25 BAUME LES DAMES
38 VINAY
39 SAINT AMOUR
64 ORTHEZ
62 LUMBRES
22 YFFINIAC
72 PARIGNE L'EVEQUE
22 SAINT NICOLAS DU PELEM
52 NOGENT
63 SAINT GERMAIN LEMBRON
41 PRUNIERS EN SOLOGNE
63 RIOM
76 LE GRAND QUEVILLY
68 WITTELSHEIM
57 ROHRBACH LES BITCHE
68 ALTKIRCH
44 PAIMBOEUF
73 LA RAVOIRE
86 NEUVILLE DE POITOU
56 JOSSELIN
81 BLAYE LES MINES
34 SERIGNAN
44 COUERON
17 LA ROCHELLE
62 COQUELLES
91 LA VILLE DU BOIS
59 BRUAY SUR L'ESCAUT
76 DARNETAL
21 GEVREY CHAMBERTIN
17 SAUJON
72 BESSE SUR BRAYE
49 MAZE
25 BESANCON
74 LOISIN
76 FERRIERES EN BRAY
82 CAUSSADE
26 DONZERE
37 VERNOU SUR BRENNE
44 NANTES BEAULIEU
31 FLOURENS
67 SAVERNE
04 SISTERON
56 CARENTOIR
73 MONTMELIAN
59 GRAND FORT PHILIPPE
44 LIGNE
21 VENAREY LES LAUMES
67 MARCKOLSHEIM
87 LIMOGES
45 SAINT PRYVE SAINT MESMIN
62 ANNAY SOUS LENS
42 SURY LE COMTAL
88 CHATENOIS
31 MONTRABE
56 CARNAC
76 MONT SAINT AIGNAN
18 SAINT FLORENT SUR CHER
93 NEUILLY SUR MARNE
33 SAINT SEURIN SUR L'ISLE
33 SAINT SULPICE ET CAMEYRAC
54 BRIEY
67 GUNDERSHOFFEN
31 PORTET SUR GARONNE
59 DUNKERQUE
67 TRUCHTERSHEIM
16 ROUILLAC
68 PFASTATT
95 ECOUEN
22 SAINT BRIEUC
82 LABASTIDE SAINT PIERRE
22 PLESTIN LES GREVES
49 TIERCE
11 PORT LA NOUVELLE
27 ETREPAGNY
38 SAINT ETIENNE DE SAINT GEOIRS
55 MONTMEDY
31 LEGUEVIN
22 LANGUEUX
16 VILLEBOIS LAVALETTE
37 JOUE LES TOURS
44 NOZAY
44 SAUTRON
35 GUIPRY
41 CHISSAY EN TOURAINE
49 BECON LES GRANITS
88 THAON LES VOSGES
56 PLUVIGNER
37 NEUILLE PONT PIERRE
45 BONNY SUR LOIRE
71 PRISSE
85 SAINT JEAN DE MONTS
30 ALES
25 LE RUSSEY
39 MONTMOROT
85 SAINT GILLES CROIX
76 BIHOREL
44 LEGE
59 MERVILLE
57 TALANGE
31 BRUGUIERES
31 VILLEFRANCHE DE LAURAGAIS
35 MORDELLES
35 SAINT MEEN LE GRAND
33 PINEUILH
59 CAMPHIN EN PEVELE
19 SEILHAC
48 MENDE
57 SARRALBE
37 CHINON
25 PONTARLIER
49 SEVREMOINE
51 SAINTE MENEHOULD
41 MER
39 BANS
18 LE CHATELET EN BERRY
67 DIEMERINGEN
19 MALEMORT
60 GERARDMER
26 SAINT DONAT SUR L'HERBASSE
63 ARLANC
72 LA CHARTRE SUR LE LOIR
17 NIEUL SUR MER
41 SALBRIS
37 LUYNES
01 VILLARS LES DOMBES
17 SAINT PIERRE D'OLERON
22 PLANCOET
49 CORZE
29 LANMEUR
07 LES VANS
25 ROCHE LEZ BEAUPRE
76 TERRES DE CAUX
26 DIEULEFIT
26 BEAUMONT LES VALENCES
70 HERICOURT
85 LES ACHARDS
72 SAINT JAMME SUR SARTHE
16 CHABANAIS
31 FONBEAUZARD
45 SANDILLON
73 SALINS LES THERMES
72 FRESNAY SUR SARTHE
85 CHATEAU D'OLONNE
56 SAINT MARCEL
02 CHARLY SUR MARNE
31 NOE
87 FEYTIAT
72 BEAUMONT SUR SARTHE
25 MONTBELIARD
19 EGLETONS
29 PLOUARZEL
49 LONGUE
62 BARALLE MARQUION
14 LE MOLAY LITTRY
19 ARGENTAT
22 TREGASTEL
25 DEVECEY
41 SAINT LAURENT NOUAN
67 SELTZ
22 TREGUIER
41 MONDOUBLEAU
67 BERNOLSHEIM
39 BLETTERANS
39 ARINTHOD
72 MAMERS
34 SERVIAN
42 L'HORME
60 THOUROTTE
40 PARENTIS EN BORN
49 ANDARD
28 VERNOUILLET
13 BOUC BEL AIR
29 BREST
50 BRICQUEBEC
26 NYON
35 LIFFRE
07 LAMASTRE
18 ARGENT SUR SAULDRE
59 SOLESMES
76 SERQUEUX
30 MARGUERITTES
35 RENNES
68 BURNHAUPT LE HAUT
53 VILLAINES LA JUHEL
44 CHAUMES EN RETZ
67 INGWILLER
67 ESCHAU
17 MIRAMBEAU
31 BESSIERES
87 AIXE SUR VIENNE
44 LA TURBALLE
17 SAINT SAVINIEN
53 MESLAY DU MAINE
85 BRETIGNOLLES SUR MER
58 TANNAY
29 PLEYBER CHRIST
07 RUOMS
68 GUEBWILLER
66 THUIR
49 MONTREUIL BELLAY
12 OLEMPS
84 VAISON LA ROMAINE
35 PLEURTUIT
85 TALMONT SAINT HILAIRE
72 MAREIL EN CHAMPAGNE
44 LA CHAPELLE SUR ERDRE
87 LE PALAIS SUR VIENNE
87 VERNEUIL SUR VIENNE
05 REMOLLON
14 DOZULE
67 MUTZIG
44 THOUARE SUR LOIRE
50 BRECEY
35 LOUVIGNE DU DESERT
29 SAINT POL DE LEON
14 COLOMBELLES
83 FAYENCE
82 MONTAUBAN
66 ILLE SUR TET
83 BANDOL
22 LANVOLLON
86 BOUFFERE
44 ANCENIS
31 EAUNES
85 L'AIGUILLON SUR MER
87 LIMOGES CORGNAC
44 CENTRALE CARQUEFOU
69 VENISSIEUX
35 CANCALE
51 REIMS
76 GRAND QUEVILLY
87 LIMOGES LABUSSIERE
34 MONTPELLIER
87 CHATENOIS
88 NEXON
77 BRIE COMTE ROBERT
35 MONTFORT SUR MEU
25 EXINCOURT
62 BIACHE SAINT VAAST
16 LA COURONNE
72 LE MANS LIBERATION
12 ONET LE CHÂTEAU
74 PASSY
74 BONNE
57 FAULQUEMONT
33 EYSINES
53 CRAON
35 GRAND FOUGERAY
19 LUBERSAC
50 LA HAGUE
86 LOUDUN
44 MONTOIR DE BRETAGNE
67 VILLE
17 SAINT ROGATIEN
77 LA FERTE GAUCHER
22 CANCALE
26 SAINT SORLIN EN VALLOIRE
49 TRELAZE
67 WOLFISHEIM
66 PRADES
76 BLANGY-SUR-BRESLE
26 VERCLAUSE
44 MONTOIRE DE BRETAGNE
56 PONT SCORFF
84 MAUBEC
10 SAINT GERMAIN
34 PIGNAN
67 BOOFZHEIM
14 DOUVRES LA DELIVRANDE
46 CARENTOIR
49 LOIRE AUTHION
17 COZES
76 YERVILLE
49 ANGERS
49 SEGRE
14 LE MOLAY-LITTRY
73 DETRIER
38 LA VERPILLIERE
35 GUIPRY-MESSAC
85 NIEUL LE DOLENT
45 LOURY
56 MUZILLAC
09 TARASCON SUR ARIEGE
35 BRUZ
63 VIC LE COMTE
68 MUNSTER
38 REVEL TOURDAN
14 TROARN
34 CASTELNAU LE LEZ
06 BEAULIEU SUR MER
45 CHÂTEAUNEUF SUR LOIRE
57 BOULAY
42 SAVIGNEUX
45 BEAUNE LA ROLLANDE
85 BELLEVIGNY
88 VAGNEY
53 LE BOURGNEUF LA FORET
87 ORADOUR SUR GLANE
72 MONFORT LE GESNOIS
81 LAVAUR
25 BEAUME LES DAMES
25 VALDAHON
19 ARGENTAT SUR DORDOGNE
47 SAINTE BAZEILLE
73 COGNIN
56 BELZ
85 JARD SUR MER
33 FARGUES SAINT HILAIRE
29 LANDIVISIAU
21 CHENOVE
14 BLAINVILLE SUR ORNE
85 SAINT GILLES CROIX DE VIE
29 PLEYBER-CHRIST
43 CRAPONNE SUR ARZON
43 LANGEAC
16 MANSLE
22 LANVALLAY
17 ARVERT
35 GUIPRY MESSAC
49 SAINT BARTHELEMY BANCHAIS
85 LA MOTTE ACHARD
43 AIGUILHE
